place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"hamilton, ontario ",on,43.2557,-79.8711,non-essential business ,$750 fine,yes,880,1,1,business,mar,hamilton police service,emergency management act,"shisha kaif cafe,  hookah lounge",covid-19: hamilton police arrest alleged drug dealer  for violating shutdown of non-essential businesses,https://nationalpost.com/news/covid-19-hamilton-police-arrest-alleged-drug-dealer-for-violating-shutdown-of-non-essential-businesses,
"quebec city, quebec",qc,46.8139,-71.208,disobeying 14-day self-isolation quarantine order after testing positive for covid-19,arrest,no,NA,1,1,individual,mar,service de police de la ville de quebec,public health act,woman,a woman who tested positive for covid-19 was arrested in quebec city after she left isolation,https://montreal.ctvnews.ca/mobile/a-woman-who-tested-positive-for-covid-19-was-arrested-in-quebec-city-after-she-left-isolation-1.4862611?fbclid=IwAR2wjwS9qJL75XWw7R-adA-BV3cYmLaJAwYKqg5mVMpoq94QK5IKuIDe49w,
"corner brook, newfoundland ",nf,48.949,-57.9503,disobeyed mandatory 14-day quarantine imposed due to recently travelling into the province,"arrest, one night in jail,  fine of betweenê$500 and $2,500",yes,500,1,1,individual,mar,royal newfoundland constabulary,public health and promotion act,woman,n.l. woman arrested for refusing to self-isolate after talking to police ,https://atlantic.ctvnews.ca/n-l-woman-arrested-for-refusing-to-self-isolate-after-talking-to-police-1.4867570,
"rothesay, new brunswick, canada",nb,45.3765,-65.9915,coughing on people after failing to self-isolate,assault ,no,NA,2,2,individual,mar,kennebecasis regional police force,criminal code,two men,two new brunswick men charged with assault for coughing on others,https://beta.ctvnews.ca/local/atlantic/2020/3/26/1_4870505.html,
"ottawa, ontario ",on,45.4215,-75.6972,spitting at police and claiming to have covid-19 while attempting to steal a bicycle,assault,no,NA,1,1,individual,mar,ottawa police service,criminal code,man,"assault charges laid after man spit on ottawa police officer, saying he had covid-19",https://www.ottawamatters.com/police-beat/assault-charges-laid-after-man-spit-on-ottawa-police-officer-saying-he-had-covid-19-2205546,
"truro, nova scotia ",ns,45.3658,-63.2869,disobeyed mandatory 14-day quarantine imposed due to recently travelling into the province,"$1,000 fine ",yes,1000,1,1,individual,mar,truro police service,public health act,man,truro man ticketed for failing to self isolate,https://atlantic.ctvnews.ca/truro-man-ticketed-for-failing-to-self-isolate-1.4873457,
"point pleasant park, halifax, nova scotia ",ns,44.6233,-63.5686,disobeying park closure measures ,"$697.50 fine, vehicle seized",yes,697.5,1,1,individual,mar,halifax regional police,emergency management act,woman,"halifax police seize vehicle, issue ticket to woman violating covid-19 emergency order",https://globalnews.ca/news/6748452/halifax-police-issue-ticket-covid-19-emergency-order/,
"loon lake, saskatchewan",sk,54.0262,-109.1585,gatherings of more than 10 people without maintaining a two-metre distance between people,$2000 fine,yes,2000,11,11,individual,mar,royal canadian mounted police,public health act,"10 adults, one youth, stolen vehicle, weapons invovled ",chase of suspicious suv ends with 11 occupants charged with breaking covid-19 law,https://www.carlyleobserver.com/chase-of-suspicious-suv-ends-with-11-occupants-charged-with-breaking-covid-19-law-1.24108639,
"dartmouth, nova scotia ",ns,44.6661,-63.5676,disobeying emergency parking regulations,$697.50 fine ,yes,697.5,1,1,individual,mar,halifax regional police,emergency management act,man,dartmouth man fined $697.50 under emergency management act,https://www.halifaxtoday.ca/police-beat/dartmouth-man-fined-69750-under-emergency-management-act-2214542?utm_source=dlvr.it&utm_medium=twitter,
"hamilton, ontario ",on,43.2557,-79.9081,non-essential business,$750 fine,yes,880,1,1,business,mar,hamilton police service,"emergency management act, criminal code","man, independent drug dealer",hamilton police arrest alleged drug dealer  for violating shutdown of non-essential businesses,https://nationalpost.com/news/covid-19-hamilton-police-arrest-alleged-drug-dealer-for-violating-shutdown-of-non-essential-businesses,
"edmonton, alberta",ab,53.5461,-113.4938,threatending  ex-partner claiming to have covid-19,uttering threats ,no,NA,1,1,individual,apr,edmonton police service,criminal code ,man,man showing up at exs home saying he has covid-19 leads to charges: edmonton police,https://globalnews.ca/news/6775924/edmonton-police-uttering-threats-covid-19/ ,
"gatineau, quebec",qc,45.4765,-75.7013,lying about a positive covid-19 diagnosis,obstructing a peace officer ,no,NA,1,1,individual,mar,service depoliceêde la ville deêgatineau,criminal code,woman,gatineau woman facing charges for lying about covid-19 diagnosis,https://montreal.ctvnews.ca/gatineau-woman-facing-charges-for-lying-about-covid-19-diagnosis-1.4881990,
"hamilton, ontario ",on,43.2464,-79.9081,disobeying park closure measures ,$750 fine,yes,880,3,3,individual,apr,hamilton police service,emergency management and civil protection act,"3 adults, golfing",three fined under covid-19 emergency orders for golfing on closed chedoke golf course,https://globalnews.ca/news/6776857/three-fined-golfing-chedoke-covid-19/,
"brampton, ontario ",on,43.7315,-79.7624,non-essential business ,$750 fine,yes,880,2,2,business,apr,peel region police,emergency management and civil protection act,"tattoo parlour, car wash ",city of brampton issues eight physical distancing fines,https://www.inbrampton.com/city-of-brampton-issues-eight-physical-distancing-fines,
"brampton, ontario ",on,43.7315,-79.7624,"gathering of more than 5 people, violating social distancing ",$750 fine,yes,880,95,95,individual,mar/apr,peel region police,covid-19 by-law,"5 house parties, 2 cricket matches among 35 physical-distancing fines","5 house parties, 2 cricket matches among 35 physical-distancing fines issued in brampton",https://www.inbrampton.com/brampton-issues-30-additional-physical-distancing-fines-amid-covid-19-outbreak,https://globalnews.ca/video/6852611/coronavirus-outbreak-brampton-issues-111-warnings-30-charges-laid-under-covid-19-bylaws
"chisasibi, quebec",qc,53.7826,-78.8937,violating social distantcing and gathers of more than 10 people ,$1000 fine ,yes,1000,15,15,individual,apr,eeyou eenou police force ,public health act,"13 people, cree reserve community ",police shut down house parties for disobeying social distancing ,https://www.facebook.com/EeyouEenouPoliceForce/photos/a.351055118297059/2825445524191327/?type=3&theater,
"kitchener, ontario",on,43.4516,-80.4925,disobeying park closure orderê,$750 fine,yes,880,1,1,individual,apr,waterloo regional police service,emergency management and civil protection act,not specified,kitchener issues first charge under new covid-19 rules,https://www.kitchenertoday.com/local-news/kitchener-issues-first-charge-under-new-covid-19-rules-2229788,
"toronto, ontario ",on,43.6532,-79.3832,disobeying physical distancing,$750 fine,yes,880,505,505,individual,apr/may,toronto police services,emergency management and civil protection act,not specified,"505 orders: toronto police enforcing city bylaws, provincial orders to stop covid-19 spread",https://www.toronto.ca/home/media-room/news-releases-media-advisories/?nrkey=3F3B1E973EDAE16585258555006C4D28,https://www.cbc.ca/news/canada/toronto/physical-distancing-enforcement-toronto-police-mississauga-1.5522303
"toronto, ontario ",on,43.6532,-79.9081,non-essential business,$750 fine,yes,880,71,71,business,apr/may,toronto police services,emergency management and civil protection act,not specified,"toronto police enforcing city bylaws, provincial orders to stop covid-19 spread",https://www.toronto.ca/home/media-room/news-releases-media-advisories/?nrkey=3F3B1E973EDAE16585258555006C4D28,
"millbrook, nova scotia",ns,45.3309,-63.3076,non-essential buisness,$7500 fine,yes,7500,1,1,business,mar,royal canadian mounted police,health protection act,not specified,business fined for staying open - law expert says enforcement of covid-19 rules is complicated,https://www.cbc.ca/news/canada/nova-scotia/wayne-mackay-legal-expert-dalhousie-university-information-morning-covid-19-enforcement-1.5514942?fbclid=IwAR1tFLbY1pcCIDboibx4aM7AnWqQNFEYX-sysUjwYhiKZZd6Q8y-ziyPCno,
"richmond, british columbia",bc,49.1666,-123.1336,running a business without a licence for selling covid-19 masks ,"$1,000 fine ",yes,1000,1,1,business,mar,royal canadian mounted police,emergency program act,"man, 22 years old, fraud  ",b.c. man busted for selling black market medical masks in richmond,https://globalnews.ca/news/6736495/bc-bans-resale-coronavirus/,
"hamilton, ontario ",on,43.2464,-79.9081,lying about covid-19 infection to stay home from work,"fraud under $5,000 ",no,NA,1,1,individual,mar,hamilton police service,criminal code,woman,"hamilton mcdonald's worker charged, police say she used fake doctor's note saying she had virus",https://globalnews.ca/news/6740139/coronavirus-hamilton-woman-charged-mcdonalds-fake-positive-covid-19-test/,
"toronto, ontario ",on,43.6532,-79.3832,illegal coronavirus testing kits ,"fraud under $5,000 ",no,NA,1,1,individual,mar,toronto police services,criminal code,man,toronto police charge man involved in coronavirus fraud investigation,https://globalnews.ca/news/6740708/toronto-police-coronavirus-fraud/,
"ottawa, ontario ",on,45.4215,-75.6972,coughing on police after alleged break-in,assault,no,NA,1,1,individual,mar,ottawa police service,criminal code,woman,"woman charged after allegedly coughing on police, claiming to have covid-19",https://www.cbc.ca/news/canada/ottawa/woman-ottawa-police-covid-19-charged-1.5522673,
"edmonton, alberta",ab,53.5461,-113.4938,coughing on transit employee and claiming to have covid-19 ,"assault (2 counts), assault of a peace officer, contravening an order of the chief medical officer under the public health act.",no,NA,3,1,individual,apr,edmonton police service,"criminal code, public health act ",man,"edmonton man who said he had covid-19 charged after coughing on bus driver, officers",https://edmonton.ctvnews.ca/edmonton-man-who-said-he-had-covid-19-charged-after-coughing-on-bus-driver-officers-1.4884638,
"prince county, prince edward island ",pei,46.8015,-63.9234,gathering with more than 5 people,$1000 fine ,yes,1000,3,3,individual,apr,royal canadian mounted police,public health act,"woman, other not specified ","womancharged thursday when she held a gathering with more than five people in attendance, the province said ",https://www.cbc.ca/news/canada/prince-edward-island/pei-covid-19-sunday-april-4-1.5522459,
"summerside, prince edward island ",pei,46.3934,-63.7902,failing to self-isolate upon returning from out of province ,$1000 fine ,yes,1000,1,1,individual ,mar,summerside police service,public health act ,man,summerside police issued p.e.i.'s first ticket for violating a public health order in relation to the covid-19 pandemic on tuesday,https://atlantic.ctvnews.ca/p-e-i-man-fined-1-000-for-not-self-isolating-after-being-warned-twice-1.4876123,
"montreal, quebec ",qc,45.5017,-73.6682,disobeying physical distancing  ,$1546 fine,yes,1546,1841,1841,individual ,apr,service de police de la ville de montreal,public health act,not specified,quebec police hand out hundreds of tickets for not respecting physical distancing,https://montrealgazette.com/news/local-news/montreal-police-issued-fewer-tickets-for-illegal-gatherings-last-week/wcm/84b1b2a3-acc8-436a-9b77-5f820a337bd5/,https://www.cbc.ca/news/canada/montreal/quebec-montreal-police-covid-19-1.5523176
"ahuntsic, quebec",qc,45.5552,-73.5673,disobeying physical distancing ,$1546 fine,yes,1546,12,12,individual ,apr,service de police de la ville de montreal,public health act,"12 people, playing soccer",le spvm distribue des amendes salees,https://www.lapresse.ca/covid-19/202004/06/01-5268157-le-spvm-distribue-des-amendes-salees.php,
quebec,qc,52.9399,-73.5491,disobeying physical distancing ,$1000-6000 fine (likely: $1546 fine),yes,1546,651,651,individual ,apr,surete du quebec ,public health act,not specified,surete du quebec announced monday it has handed out a total of 651 tickets to people not complying with covid-19 physical distancing measures since police began handing out infractions, https://www.lapresse.ca/covid-19/202004/13/01-5269094-plus-de-700-constats-donnes-par-le-spvm.php,https://dailyhive.com/montreal/surete-du-quebec-physical-distancing-fines
"halifax, nova scotia",ns,44.6488,-63.5752,disobeying physical distancing ,$697.50 fine ,yes,697.5,66,66,individual ,apr,halifax regional police,public health act,not specified,halifax police ticket 33 people in three days for violating covid-19 directives,https://www.thechronicleherald.ca/news/local/halifax-police-ticket-33-people-in-three-days-for-violating-covid-19-directives-435956/,
"halifax, nova scotia",ns,44.6488,-63.5752,disobeying physical distancing  ,$697.50 fine ,yes,697.5,12,12,individual ,apr,halifax regional police,public health act,not specified,twitter post - halifax regional police confirm they issued dozens of covid-19 tickets on saturday,https://twitter.com/Brett_CBC/status/1246781095540142084,
"regina, saskatchewan",sk,50.4452,-104.6189,failing to comply with isolation order ,$2800.00 fine,yes,2800,1,1,individual ,mar,regina police service ,public health act,woman,covid-19 public health order violated: first ticket issued,http://reginapolice.ca/2020/04/covid-19-public-health-order-violated-first-ticket-issued/,
"hamilton, ontario ",on,43.2464,-79.9081,disobeying physical distancing ,$750 fine,yes,880,100,100,individual ,apr,"hamilton police service, bylaw officers",emergency management and civil protection act,inculdes 10 homeless people,hamilton bylaw officers have laid more than 100 charges tied to covid-19 orders,https://y108.ca/news/6887489/hamilton-bylaw-officers-covid-19-order-violations/,https://globalnews.ca/news/6851521/coronavirus-hamilton-charges-violating-provincial-orders/
"kelowna, british columbia",bc,49.888,-119.4960,spitting at police during alledged break-in,aggravated assault ,no,NA,1,1,individual ,apr,royal canadian mounted police,criminal code,1 man,man inside vacant home he did not own charged for allegedly spitting in cop's face during covid-19 pandemic,https://bc.ctvnews.ca/man-charged-for-allegedly-spitting-in-cop-s-face-during-covid-19-pandemic-1.4884920,
"london, ontario",on,42.9849,-81.2453,non-essential buisness,$750 fine,yes,880,2,2,business,apr,municipal law enforcement ,emergency management and civil protection act,2 pawn shops ,"2 london, ont., pawn shops charged after failing to close to slow spread of covid-19",https://globalnews.ca/news/6785418/london-pawn-shops-charged-covid-19/,
"london, ontario",on,42.9849,-81.2453,disobeying physical distancing,$880 fine,yes,880,21,21,individual ,apr,municipal law enforcement ,emergency management and civil protection act,21 people ,"21 people fined in london, ont., related to covid-19- inculding skateboarders ",https://www.cbc.ca/news/canada/london/21-londoners-fined-for-breaking-emergency-measures-rules-1.5523036?__vfz=medium%3Dsharebar,
"flin flon, manitoba",mb,54.7658,-101.8762,coughing police and claiming to have covid-19 ,"assaulting a police officer, uttering threats",no,NA,2,1,individual ,apr,royal canadian mounted police,criminal code,"16-old man, carrying knife",teen arrested after officer threatened with covid-19: rcmp ,https://winnipeg.ctvnews.ca/teen-arrested-after-officer-threatened-with-covid-19-rcmp-1.4885152,
"montreal, quebec ",qc,45.5017,-73.6682,attacking security guard enforcing social distancing ,"criminal negligence causing bodily harm, assault with a weapon, aggravated assault and failure to stop after an accident",no,NA,3,1,individual ,apr,service de police de la ville de montreal,criminal code,1 man,suspect charged in attack against quebec security guard enforcing covid-19 rule,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/suspect-charged-in-attack-against-quebec-security-guard-enforcing-covid-19-rules,
"kitchener, ontario",on,43.4516,-80.4925,non-essential business ê,$750 fine,yes,880,1,1,business,apr,waterloo regional police,emergency management and civil protection act,not specified,report covid-19 'rule-breakers': region of waterloo,https://www.kitchenertoday.com/local-news/report-covid-19-rule-breakers-region-of-waterloo-2233601,
"toronto, ontario ",on,43.6532,-79.3832,non-essential business,$750 fine ,yes,880,11,11,business,apr,toronto police services,emergency management and civil protection act,not specified,"city ramps up enforcement blitz at parks as toronto reaches 1,000 cases of covid-19",https://www.cp24.com/news/city-ramps-up-enforcement-blitz-at-parks-as-toronto-reaches-1-000-cases-of-covid-19-1.4882749,
"cape breton, nova scotia",ns,46.2487,-60.8518,"disobeying physical distancing, failing to comply with the health protection act ","$582.50-$1,000",yes,582.5,98,98,individual ,apr/may,cape breton regional police,health protection act,"not specified, 2 teenagers in car from different addresses,  residential social gatherings ",cape breton regional police issue nearly 100 tickets for isolation and distancing violations,https://www.capebretonpost.com/news/local/cape-breton-regional-police-issue-nearly-100-tickets-for-isolation-and-distancing-violations-445195/,https://www.capebretonpost.com/news/local/cape-breton-police-issue-16-fines-under-covid-19-pandemic-orders-436250/
"caraquet, new brunswick",ns,47.7897,-64.9628,disobeying physical distancing,$292 fine ,yes,292,1,1,individual ,apr,royal canadian mounted police,health protection act,2 people in car driving from differetn addresses ,ticket for not social distancing - 292$ - education over enforcement: what to expect under new physical distancing rules,https://www.cbc.ca/news/canada/new-brunswick/physical-distancing-enforcement-rcmp-1.5522736,
"aylmer, ontario",on,42.7729,-80.9829,failure to self-quarantine after travel ,$750 fine ,yes,880,1,1,individual ,mar,aylmer police,emergency management and civil protection act,1 man,aylmer police ticketed a man for failing to self-quarantine after returning from ecuador,https://lfpress.com/news/local-news/traveller-72-charged-with-not-self-isolating-in-pandemic-hammered-sarnia-police,
"sarnia, ontario",on,42.9745,-82.4066,failure to self-quarantine after travel ,$750 fine,yes,880,1,1,individual ,mar,sarnia police service,emergency management and civil protection act,1 man,"traveller, 72, charged with not self-isolating in pandemic-pounded sarnia, police say",https://lfpress.com/news/local-news/traveller-72-charged-with-not-self-isolating-in-pandemic-hammered-sarnia-police,
"wetaskiwin, alberta",ab,52.9688,-113.3661,coughing police and claiming to have covid-19 ,"charged with failing to comply , assaulting a police officer, mischief, failure to comply with public health act",no,NA,4,1,individual ,apr,royal canadian mounted police,"criminal code, public health act ",1 man ,"wetaskiwin man coughs on police, says he has covid-19",https://www.reddeeradvocate.com/news/central-alberta-man-with-covid-19-intentionally-coughs-in-police-officers-face/,
"halifax, nova scotia",ns,44.6488,-63.5752,violations against the health protection act and emergency management act - 697.50.,$1000 fine,yes,1000,132,132,individual ,apr,halifax regional police,public health act,not specified,n.s. police hand out dozens of covid-19 tickets,https://www.halifaxtoday.ca/coronavirus-covid-19-local-news/hrp-hand-out-13-more-tickets-for-covid-19-violations-2267681,https://atlantic.ctvnews.ca/halifax-police-issue-39-tickets-for-violating-orders-related-to-covid-19-1.4884239
"halifax, nova scotia",ns,44.6488,-63.5752,violations against the health protection act,$1000 fine,yes,1000,6,6,individual,apr,halifax regional police,emergency management act,6 people ,47 tickets related to covid-19 since the state of emergency was declared,https://atlantic.ctvnews.ca/halifax-police-issue-39-tickets-for-violating-orders-related-to-covid-19-1.4884239,
"taber, alberta ",ab,49.7818,-112.1497,licking food in grocery store,"mischief under $5,000",no,NA,1,1,individual,apr,taber police service ,criminal code,"man, 20 years old",taber man arrested after licking food in store as part of covid-19 prank,https://lethbridgenewsnow.com/2020/04/07/taber-man-arrested-after-licking-food-in-store-as-part-of-covid-19-prank/,
"calgary, alberta ",ab,51.0447,-114.0719,"violating gathering of more than 10 people, self-isolation order",$1200 fine,yes,1200,13,13,individual,apr,calgary police service,health protection act,"1 man, 1 38-year-old woman tested covid-positive, not specificed  ",calgary police issue 13 tickets related to covid-19 safety violations,https://www.theglobeandmail.com/canada/alberta/article-albertas-chief-health-officer-says-covid-19-compliance-high-only-a/,https://www.theglobeandmail.com/canada/alberta/article-albertas-chief-health-officer-says-covid-19-compliance-high-only-a/
"stratford, ontario",on,43.37,-80.9822,coughing on lcbo employee  ,assault,no,NA,1,1,individual,mar,stratford police service ,criminal code,1 man,stratford police investigating alleged covid-19 coughing incident as an assault,https://globalnews.ca/news/6793781/stratford-covid-19-cough-assault-lcbo/,
"mississauga, ontario ",on,43.589,-79.6441,disobeying physical distancing,$750 fine,yes,880,2,2,individual,apr,peel region police,emergency management and civil protection act,2 skateboarders ,mississauga skateboarders issued first tickets for violating covid-19 emergency park closure,https://www.thestar.com/news/gta/2020/04/07/mississauga-skateboarders-issued-first-tickets-for-violating-covid-19-emergency-park-closure.html,
nova scotia,ns,44.682,-63.7443,disobeying physical distancing,$697.50 tickets,yes,697.5,98,96,individual,apr,royal canadian mounted police,health protection act,76 people ,n.s. rcmp have now charged 98 people as part of covid-19 crackdown,https://www.thechronicleherald.ca/news/local/halifax-police-ticket-33-people-in-three-days-for-violating-covid-19-directives-435956/,https://globalnews.ca/news/6832536/covid-19-tickets-halifax/
"new westminster, british columbia",bc,49.2057,-122.911,coughing on transit employee and claiming to have covid-19 ,"assaulting a police officer, uttering threats",no,NA,2,1,individual,mar,metro vancouver transit police,criminal code,"1 man, threatening with knife ",two transit police self-isolate after man coughs on them during arrest in new west,https://www.citynews1130.com/2020/03/22/transit-police-arrest-cough-covid-19/,
"victoria, british columbia ",bc,48.4284,-123.3656,"false claim of having covid-19 to stay in air bnb longer, theft ",fraud ,no,NA,2,2,individual,mar,victoria police department,criminal code,"2 men, stolen goods found",victoria police arrest men in alleged covid-19 airbnb scam,https://vancouverisland.ctvnews.ca/victoria-police-arrest-men-in-alleged-covid-19-airbnb-scam-1.4876015,
"brampton, ontario",on,43.7315,-79.7624,false claim of covid-19 positive test ,public mischief,no,NA,1,1,individual,mar,peel region police,criminal code,39-year-old man,peel cops arrest man over fake covid-19 contact claim,https://torontosun.com/news/local-news/peel-cops-arrest-man-over-fake-covid-19-contact-claim,
"hamilton, ontario ",on,43.2557,-79.8711,"disobeying park closure order, disobeying physical distancingê",$750 fine,yes,880,19,19,individual,apr,by-law officers,emergency management and civil protection act,19 people ,"hamilton bylaw hands out 19 tickets for people caught at waterfalls, golf course and escarpment stairs",https://www.thespec.com/news/hamilton-region/2020/04/04/photos-albion-falls-spencer-gorge-quiet-but-bylaw-on-the-prowl-for-social-distancing-defiers.html,
"corner brook, newfoundland ",nf,48.949,-57.9503,second violation of disobeying 14-day self-isolation quarantine order after arriving from out of province,"in custody, possible fine of $500 and $2,500, or a jail sentence of up-to six months",maybe,NA,1,1,individual,mar,royal newfoundland constabulary,public health protection and promotion act,"1 woman, 
53-year-old ",woman arrested for the second time after allegedly not self-isolating in n.l.,Êhttps://globalnews.ca/news/6736892/n-l-woman-arrested-for-not-self-isolating-nl/Ê,
"wingham, ontario",on,43.8879,-81.3117,coughing police during an arrest,"domestic assault, domestic mischief, assaulting a peace officer ",no,NA,3,1,individual,apr,huron county ontario provincial police ,criminal code,1 man,wingham man faces three charges after someone intentionally coughed on a police officer during an arrest,https://lfpress.com/news/local-news/covid-19-wingham-man-charged-after-police-officer-coughed-on,
"montreal, quebec ",qc,45.5237,-73.5521,disobeying physical distancing,$1546 fine ,yes,1546,5,5,individual,apr,service de police de la ville de montreal,health protection act,5 homeless youth ,des contraventions donnees aux jeunes sans-abris,https://www.lapresse.ca/covid-19/202004/11/01-5268959-des-contraventions-donnees-aux-jeunes-sans-abris.php?utm_source=facebook&utm_medium=social&utm_campaign=algofb&fbclid=IwAR3bF-b1axko16Acx97ICfZ4nj9d-5et6wzAff8I_XxylnyM-eDQ_LjX0E8,
"armstrong, british columbia ",bc,50.4477,-119.197,non-essential buisness,$345 fine,yes,345,1,1,business,apr,interior health authority ,health protection act,gym ,"armstrong, b.c. fitness centre fined for remaining open during covid-19 pandemic",https://globalnews.ca/news/6797800/armstrong-fitness-centre-fined-covid-19/,
"coquitlam, british columbia",bc,49.2838,-122.7932,coughing on police after alleged break-in,"assaulting a police officer, break and enter, theft under $5000",no,NA,3,1,individual,apr,coquitlam royal canadian mounted police ,criminal code,"man, 24-year-old",b&e suspect charged with assault after intentionally coughing on cops while sick: rcmp,https://bc.ctvnews.ca/b-e-suspect-charged-with-assault-after-intentionally-coughing-on-cops-while-sick-rcmp-1.4888328,
"windsor, ontario",on,42.3149,-83.0364,disobeying physical distancing,$750 fine,yes,880,1,1,individual,apr,windsor police service,emergency management and civil protection act,not specificed ,windsor police issue first ticket for covid-19 infraction,https://windsorstar.com/news/local-news/windsor-police-issue-first-ticket-for-covid-19/,
peterborough,on,44.3091,-78.3197,"disobeying park closure order, disobeying physical distancingê",$750 fine,yes,880,8,8,individual,apr,peterborough police service,emergency management and civil protection act,8 baskeball players,peterborough basketball player fined for too many players on court,https://www.thepeterboroughexaminer.com/news-story/9923390-peterborough-basketball-player-fined-for-too-many-players-on-court/,
"cambridge, ontario ",on,43.3616,-80.3144,coughing on another person ,"assault, common nuisance, endangering life",no,NA,3,1,individual,mar,waterloo regional police service,criminal code,42 year old woman,cambridge woman charged with assault for coughing on elderly person in starbucks drive-thru: wrps,https://www.cbc.ca/news/canada/kitchener-waterloo/starbucks-cambridge-drive-thru-coughing-1.5530260,
"mayerthorpe, alberta",ab,53.9548,-115.1423,coughing police during an arrest,"assault on a police officer, resisting arrest, mischief under $5,000 
assault on a police officer and four counts of mischief under $5,000.",no,NA,6,2,individual,apr,royal canadian mounted police,criminal code,"man 20, woman 35 ",2 people displaying covid-19 symptoms charged after allegedly coughing on police officers in mayerthorpe,https://edmonton.ctvnews.ca/2-people-displaying-covid-19-symptoms-charged-after-allegedly-coughing-on-police-officers-in-mayerthorpe-1.4893200,
"edmonton, alberta",ab,53.5461,-113.4938,coughing on transit employee and claiming to have covid-19 ,"assault of a peace officer, individual contravening an order of the chief medical officerêunder the public health act",no,NA,2,1,individual,apr,"transit peace officers, edmonton police services ","criminal code, public health act ",38-year-old man,male facing charges under the public health actfollowing coughing incident with ets bus driver,https://www.edmontonpolice.ca/News/MediaReleases/covidchargesonets,https://www.cbc.ca/news/canada/edmonton/coughing-on-cops-suspects-accused-of-weaponizing-covid-19-against-police-1.5532394
"cochrane, alberta ",ab,51.1918,-114.4667,disobeying physical distancing,"$1,200 fine",yes,1200,2,2,individual,apr,royal canadian mounted police,emergency management act,"2 teenagers in car from different addresses,  residential social gatherings,  ","cochrane rcmp drop $1,200 tickets for not social distancing; say carpooling is still ok",https://calgaryherald.com/news/local-news/cochrane-rcmp-drop-1200-tickets-for-not-social-distancing-say-carpooling-is-still-ok/,
"calgary, alberta",ab,51.0447,-114.0719,non-essential buisness,not specified ,maybe,NA,5,5,business,apr,calgary police service,emergency management act,not specified,five businesses in the city have also received orders from alberta health services to lock their doors but have ignored the closure orders from the province,https://www.660citynews.com/2020/04/03/just-one-covid-19-self-isolation-fine-issued-calgary-police/,
"regina, saskatchewan",sk,50.4452,-104.6189,threatening to cough on police officer during arrest ,"possession of stolen property under $5,000, theft of motor vehicle, operating a conveyance in a manner dangerous to the public, uttering threats and assaulting a peace officer.",no,NA,5,1,individual,apr,regina police service,criminal code,30-year-old man,"man charged after saying he had covid-19, threatening to cough on police officers",https://regina.ctvnews.ca/man-charged-after-saying-he-had-covid-19-threatening-to-cough-on-police-officers-1.4896231,
"mississauga, ontario",on,43.589,-79.6441,disobeying physical distancing,$750 fine,yes,880,14,14,individual,apr,peel region police,emergency management and civil protection act,not specified,heres how many social distancing fines mississauga has issued amid covid-19 outbreak,https://www.insauga.com/heres-how-many-social-distancing-fines-mississauga-has-issued-amid-covid-19-outbreak,
"barrie, ontario",on,44.3894,-79.6903,"gathering of more than 5 people, violating social distancing ",$750 fine,yes,880,1,1,individual,apr,barrie police ,emergency management and civil protection act,45 year old woman,"woman charged after hosting birthday party in barrie, ont.",https://globalnews.ca/news/6823482/coronavirus-charge-barrie-birthday-party-covid-19/,
"guelph, ontario",on,43.5448,-80.2482,coughing on another person ,"common nuisance, breach of probation",no,NA,2,1,individual,apr,guelph police service,criminal code,"24-year-old, man","now you have coronavirus': guelph man arrested for coughing on women, say police",https://www.guelphmercury.com/news-story/9941324--now-you-have-coronavirus-guelph-man-arrested-for-coughing-on-women-say-police/,
"coquitlam, british columbia",bc,49.2838,-122.7932,coughing on another person ,"arrested, investigated for charges",no,NA,0,1,individual,apr,royal canadian mounted police,criminal code,"25-year-old, woman",b.c. woman arrested after allegedly coughing at store clerk for not letting her buy tissues,https://bc.ctvnews.ca/b-c-woman-arrested-after-allegedly-coughing-at-store-clerk-for-not-letting-her-buy-tissues-1.4897625,
"saguenay, quebec",qc,48.4281,-71.0685,failing to self-isolate after travel from within province  ,$1500 fine,yes,1500,1,1,individual,apr,saguenay police service,public health act,man,un premier constat dinfraction relatif au confinement  saguenay,https://www.lequotidien.com/actualites/un-premier-constat-dinfraction-relatif-au-confinement-a-saguenay-faed4ce8dac8104ab800f99bc7344620,
"chateauguay, quebec",qc,45.3602,-73.7494,disobeying physical distancing,$1546 fine,yes,1546,20,20,individual,apr,chateauguay police,public health act,not specified,la police de chateauguay a remis plus de 20 constats dinfraction,https://www.cybersoleil.com/covid-19-la-police-de-chateauguay-a-remis-plus-de-20-constats-dinfraction/,
"drummondville, quebec",qc,45.8803,-72.4843,disobeying physical distancing,$1546 fine,yes,1546,2,2,individual,apr,surete du quebec ,public health act,2 men,plus de 3000$ d'amende pour deux drummondvillois qui s'entraidaient,https://ici.radio-canada.ca/nouvelle/1691814/contravention-drummodnville-covid-amende-distanciation,
"pictou county, nova scotia",ns,45.5776,-62.6511,disobeying physical distancing,$697.50 fine ,yes,697.5,5,5,individual,apr,new glasgow regional police,emergency management act,5 men,new glasgow regional police ticketed five men for failing to social distance in two separate incidents on sunday,https://atlantic.ctvnews.ca/concerns-raised-about-enforcement-as-n-s-police-hand-out-dozens-of-covid-19-tickets-1.4896212,
